label,sublabel,description,styles,bgcolor
可燃ごみ,,,,#ea3b13
硬プラ・革製品類,,,,#ff9137
容器包装プラスチック,,,,#77ae1f
紙・布類,,,,#bbe400
びん類,,,,#2dc7aa
金属類,,,,#81d12e
ペットボトル,,,,#91dde7
アルミ缶,,,,#00b7c0
廃食用油,,,,#733b96
埋立ごみ,,,,#685ecf
